,run_id,created_at,instance_id,class_key,period,n_items,cap_mean,status,status_label,objective,best_bound,gap,runtime_sec,has_instance,solver_version,gap_num,run_batch
256,5d87dd2f-ee4e-4e77-93c5-d16ac252436f,2025-09-01T14:21:25.54809+00:00,3c2015d1-db96-461f-b0dc-09c5ef7097bd,prof_T40_N20_DBMedium_TBO2_CVmed,40,20,1577.95,9,TIME_LIMIT,168803.52018089325,167948.7755131024,0.005063547649213107,80.0417890548706,true,lefo_mip_v2,0.005063547649213107,1
255,aaf98be5-5650-4f3d-9905-1f66843203ae,2025-09-01T14:22:46.988962+00:00,4adaf281-2bb3-4bac-b8b8-b188abfc2ebc,prof_T40_N20_DBMedium_TBO2_CVmed,40,20,1488.175,9,TIME_LIMIT,155582.6208643901,154832.53984183425,0.004821110599554965,80.06704902648926,true,lefo_mip_v2,0.004821110599554965,1
248,2d7f7fe2-2091-494a-8881-146b39b17de6,2025-09-01T14:27:15.107793+00:00,ad65d3b6-ccc5-449a-962d-53f0792570a3,prof_T60_N40_DBMedium_TBO2_CVmed,60,40,3128.5833333333335,9,TIME_LIMIT,495352.05475610244,492975.31521698885,0.004798081518575379,80.07683682441711,true,lefo_mip_v2,0.004798081518575379,1
219,44868fa0-8c50-476d-9770-b99bdd4f010a,2025-09-01T14:42:07.909602+00:00,d2903631-cc36-49bd-85ac-2b4ffdb3eaf3,class_T20_N20_DBLoose_TBO4_CVhigh_Z1,20,20,1725.2,9,TIME_LIMIT,105746.01739413895,105305.34672092384,0.004167255505922547,80.03111600875854,true,lefo_mip_v2,0.004167255505922547,1
105,c0bfefc7-c8c0-48c6-a196-dd01fb7e36ab,2025-09-01T15:30:58.453104+00:00,ad50d2ea-690a-4cf4-80ff-ed437c4e0033,class_T60_N30_DBMedium_TBO2_CVmed_Z3,60,30,2333.633333333333,9,TIME_LIMIT,363924.1115474037,362482.7246760555,0.003960679783538999,80.16513299942017,true,lefo_mip_v2,0.003960679783538999,1
236,fb29372b-9a10-4149-9c8d-4f96e1561e68,2025-09-01T14:37:14.621322+00:00,de3eb851-edad-4681-8388-fee08be4e1de,class_T20_N10_DBMedium_TBO2_CVmed_Z2,20,10,755.15,9,TIME_LIMIT,39530.303823385846,39379.59433358311,0.003812505223235261,80.01849889755249,true,lefo_mip_v2,0.003812505223235261,1
106,263eed6b-1fe6-497d-866f-df3d3dd92693,2025-09-01T15:29:35.147915+00:00,ec243f44-9129-41b5-b4f9-d6010aa2493f,class_T60_N30_DBMedium_TBO2_CVmed_Z3,60,30,2309.9666666666667,9,TIME_LIMIT,368225.46512396476,366859.8681828308,0.00370858908596728,80.11255407333374,true,lefo_mip_v2,0.00370858908596728,1
135,8548d058-c917-4f29-ae7c-a8c9855ca09d,2025-09-01T15:14:16.930847+00:00,e6617a8b-f25a-4654-8ce7-324c8b07ec0e,class_T40_N30_DBLoose_TBO4_CVhigh_Z2,40,30,2447.625,9,TIME_LIMIT,292889.7170869858,291815.6264317818,0.0036672187261699908,80.07333397865295,true,lefo_mip_v2,0.0036672187261699908,1
235,1d9ee0ec-4eb1-4249-a809-2f3ec9ef092f,2025-09-01T14:38:35.346115+00:00,d101a55a-35a5-4fc0-b663-8e13a081e76e,class_T20_N10_DBMedium_TBO2_CVmed_Z2,20,10,730.45,9,TIME_LIMIT,38660.044753503855,38523.48699287294,0.0035322711471651776,80.04439401626587,true,lefo_mip_v2,0.0035322711471651776,1
134,3ac91d0c-110f-493c-933f-5f0e01e7ae79,2025-09-01T15:15:38.747046+00:00,c40ca3a9-658d-405a-bb96-41579318a2ab,class_T40_N30_DBMedium_TBO2_CVmed_Z2,40,30,2323.8,9,TIME_LIMIT,243270.63042990176,242411.50526210075,0.0035315613984425137,80.07118797302246,true,lefo_mip_v2,0.0035315613984425137,1
251,c42cfb12-efdd-4102-a8f2-4462bf873003,2025-09-01T14:25:33.706155+00:00,facfaea4-2410-4cfe-be30-2dded7755ae0,prof_T40_N30_DBLoose_TBO4_CVhigh,40,30,2537.45,9,TIME_LIMIT,300769.17674769217,299778.4974305771,0.0032938192930125473,80.06720805168152,true,lefo_mip_v2,0.0032938192930125473,1
92,86e56ea8-b0a5-4c0b-8444-0d5ba20a9509,2025-09-01T15:43:39.022673+00:00,1807c05c-782c-44d4-82bb-1d12558429ff,class_T60_N40_DBMedium_TBO2_CVmed_Z3,60,40,3145.133333333333,9,TIME_LIMIT,496372.0635389283,494769.46549844224,0.0032286225559516424,80.11594700813293,true,lefo_mip_v2,0.0032286225559516424,1
133,b5177b1e-c8fe-4f83-b0ab-5cd48b58a469,2025-09-01T15:17:00.398198+00:00,a69b8325-4a8f-411c-8cb6-2b901f363e54,class_T40_N30_DBMedium_TBO2_CVmed_Z2,40,30,2283.5,9,TIME_LIMIT,232596.53611818576,231861.6573881628,0.0031594568959941727,80.10521507263184,true,lefo_mip_v2,0.0031594568959941727,1
252,92829299-fbd1-45b9-ac59-b8d005fb5b21,2025-09-01T14:24:11.936864+00:00,9c43eb4e-31f6-40e7-b2cc-01392ba5d381,prof_T40_N30_DBLoose_TBO4_CVhigh,40,30,2489.15,9,TIME_LIMIT,296558.4558120565,295669.97094321635,0.002995985619115902,80.07531309127808,true,lefo_mip_v2,0.002995985619115902,1
136,b96b6a87-a750-4cbc-85be-8f3763ff4a29,2025-09-01T15:12:54.973025+00:00,c34b7e1c-ca49-4be2-9406-89dc735f1b79,class_T40_N30_DBLoose_TBO4_CVhigh_Z2,40,30,2521.7,9,TIME_LIMIT,300015.6979894228,299194.9164427737,0.002735795333876338,80.07345509529114,true,lefo_mip_v2,0.002735795333876338,1
261,a9acf220-faa1-4036-af0d-a2d2f76761d6,2025-09-01T14:17:17.923331+00:00,3330bf6c-076c-4b5b-98df-1cdb89a897f5,prof_T20_N30_DBLoose_TBO4_CVhigh,20,30,2448.3,9,TIME_LIMIT,148265.23320699416,147890.92245429198,0.002524602326558921,80.01965498924255,true,lefo_mip_v2,0.002524602326558921,1
217,2e81dd2c-8235-43c8-ba48-75f258fb93a4,2025-09-01T14:44:49.780279+00:00,05ef9ef7-6f14-446a-82a9-e97a8514d8e3,class_T20_N20_DBMedium_TBO2_CVmed_Z2,20,20,1444.75,9,TIME_LIMIT,75118.10699116647,74929.74030215591,0.0025076069746100414,80.02729105949402,true,lefo_mip_v2,0.0025076069746100414,1
218,2f740036-9b70-4b7f-970f-83350100f49d,2025-09-01T14:43:28.956904+00:00,d0f59b06-2583-4861-9d59-f7762aa0080d,class_T20_N20_DBMedium_TBO2_CVmed_Z2,20,20,1519.25,9,TIME_LIMIT,78966.36019173164,78785.79401099644,0.0022866215474131395,80.05374908447266,true,lefo_mip_v2,0.0022866215474131395,1
267,b6ba7bec-dee5-41e5-8d3e-e5baa2a0c242,2025-09-01T14:14:30.850332+00:00,4af948e2-1bc3-456d-9732-d92ed1c157b2,prof_T20_N20_DBMedium_TBO2_CVmed,20,20,1480.15,9,TIME_LIMIT,77275.13388353279,77100.73754002116,0.002256823569849482,80.0188500881195,true,lefo_mip_v2,0.002256823569849482,1
191,a504a633-8399-4ba9-ad33-8c6795ef2524,2025-09-01T14:50:18.88988+00:00,ed097dfd-ebcb-414e-8326-85fc21990542,class_T20_N30_DBLoose_TBO4_CVhigh_Z1,20,30,2486.6,9,TIME_LIMIT,149363.53461716618,149050.95217191675,0.0020927627754030293,80.02343106269836,true,lefo_mip_v2,0.0020927627754030293,1
