,run_id,created_at,instance,class_key,period,n_items,cap_mean,status_label,solver_version,objective,best_bound,gap,runtime_sec,run_batch
30,8b01b040-08d7-4c78-8f83-9c04bf6bae61,2025-09-27T06:53:47.438598+00:00,ins#2,X332HB12,40,30,2700.375,TIME_LIMIT,lefo_mip_no_shelf_v1,1315537.7914807764,1272755.250283194,0.03252095186822883,600.0495989322662,11
28,0cdc18eb-0f93-4d7b-9615-9d6115f41020,2025-09-27T07:13:57.137352+00:00,ins#5,X332HB12,40,30,2691.275,TIME_LIMIT,lefo_mip_no_shelf_v1,1404181.891522441,1361396.4792553168,0.03046999290151471,600.0465359687805,11
10,5fe40877-672f-40e3-b2a2-508c3743ccc8,2025-09-27T10:15:17.533499+00:00,ins#2,X331LB12,40,30,2876.9,TIME_LIMIT,lefo_mip_no_shelf_v1,1073242.1549174024,1041102.1753337036,0.029946624288320383,600.0422050952911,11
49,4a419311-76f8-4940-9649-4c72ea800f93,2025-09-27T03:42:25.333346+00:00,ins#2,X331LB8,40,30,2862.65,TIME_LIMIT,lefo_mip_v1,765661.3214976365,743276.0470949409,0.02923652243384831,600.0503749847412,11
0,dc5d5539-3a44-421a-8159-3349d8db85c5,2025-09-27T11:55:59.840176+00:00,ins#4,X331HB12,40,30,2908.9,TIME_LIMIT,lefo_mip_no_shelf_v1,1123761.4321893346,1091074.004306229,0.029087515327362038,600.029876947403,11
4,a44d13e4-8a9f-4a78-b673-3e4b860afbf0,2025-09-27T11:15:42.44172+00:00,ins#3,X332HB12,40,30,2686.125,TIME_LIMIT,lefo_mip_no_shelf_v1,1351439.5284536362,1312194.7565372963,0.029039236377261433,600.0368139743805,11
37,43e10c37-52e5-4d52-93c6-bcd60c46a360,2025-09-27T05:43:19.25775+00:00,ins#2,X332LB12,40,30,2608.075,TIME_LIMIT,lefo_mip_v1,1683435.5218786485,1634686.048006863,0.028958325542152594,600.1374349594116,11
66,7c7beea4-9f3a-4add-bf64-c8961cd87f04,2025-09-27T00:51:09.272032+00:00,ins#3,X331LB12,40,30,2839,TIME_LIMIT,lefo_mip_no_shelf_v1,1095785.692421095,1065099.3090087227,0.028004000804730325,600.0410571098328,11
22,80501c20-9bb6-467e-b853-02feacfd27cf,2025-09-27T08:14:23.861727+00:00,ins#1,X332LB12,40,30,2270.9,TIME_LIMIT,lefo_mip_no_shelf_v1,1124918.3946626214,1093419.4170948877,0.028001122318904482,600.1129050254822,11
44,1a402b43-1c28-45d3-b805-f23c221c9ff3,2025-09-27T04:32:45.339812+00:00,ins#4,X331LB12,40,30,2884.45,TIME_LIMIT,lefo_mip_no_shelf_v1,1099296.7529525592,1069635.7598102924,0.026981789096166643,600.0337960720062,11
2,e00c86bb-a7b1-45f2-a18b-663b64f1ceaa,2025-09-27T11:35:50.318806+00:00,ins#5,X331HB12,40,30,2962.725,TIME_LIMIT,lefo_mip_no_shelf_v1,1106092.9352236253,1076426.8648613773,0.026820594741661766,600.0451221466064,11
35,4991b1dd-e465-426e-ba44-ec746c80f2dc,2025-09-27T06:03:27.620395+00:00,ins#5,X332LB8,40,30,2639.925,TIME_LIMIT,lefo_mip_v1,848182.4694702359,825750.4050365557,0.026447215358849537,600.1977229118347,11
41,78962478-e4db-4429-9cec-7e0e004159ef,2025-09-27T05:03:01.765865+00:00,ins#4,X332LB8,40,30,2625.975,TIME_LIMIT,lefo_mip_v1,880391.9572332924,857794.5321878812,0.02566745965788417,600.1452951431274,11
12,e75e20cb-d1a5-428e-ab3c-a1ece1b54d7b,2025-09-27T09:55:08.446765+00:00,ins#3,X332LB12,40,30,2640.925,TIME_LIMIT,lefo_mip_no_shelf_v1,1389083.0952561873,1353594.720903383,0.02554805718534719,600.062413930893,11
20,45398075-3143-4dae-9134-4b98e594aba0,2025-09-27T08:34:32.279824+00:00,ins#1,X331HB12,40,30,2508.25,TIME_LIMIT,lefo_mip_no_shelf_v1,958211.7129864192,934084.5088309128,0.025179408504943213,600.0380010604858,11
72,2b42afb1-0b88-4529-b576-c032e1ae4cf8,2025-09-26T23:50:43.811286+00:00,ins#5,X331LB12,40,30,2860.275,TIME_LIMIT,lefo_mip_no_shelf_v1,1078288.6016846183,1052031.392212629,0.024350817982279845,600.0433721542358,11
74,374b7ebe-7460-4497-9413-5084ca0ad5d3,2025-09-26T23:30:35.212768+00:00,ins#5,X332LB12,40,30,2638.1,TIME_LIMIT,lefo_mip_no_shelf_v1,1310432.4289930335,1280075.1048903787,0.02316588282692461,600.0554420948029,11
8,84ec657c-5a4d-472d-8256-940efb7185e7,2025-09-27T10:35:25.808829+00:00,ins#4,X332HB12,40,30,2711.875,TIME_LIMIT,lefo_mip_no_shelf_v1,1284249.2731626092,1255094.164100605,0.02270206389932881,600.0369989871979,11
33,08ce41a6-c072-4db6-abd7-7e5460cb3e97,2025-09-27T06:23:36.173145+00:00,ins#3,X331HB8,40,30,2943,TIME_LIMIT,lefo_mip_v1,788700.1370320861,771094.6718776466,0.022322127672869074,600.0627200603485,11
18,e7579a1a-479e-4b03-9eab-b13c5a42b546,2025-09-27T08:54:40.691958+00:00,ins#4,X332LB12,40,30,2633.575,TIME_LIMIT,lefo_mip_no_shelf_v1,1375953.5235653347,1345386.6711709383,0.02221503260894482,600.0514800548553,11
64,43efd105-2b3d-47a5-bd6e-d43672b78536,2025-09-27T01:11:18.130345+00:00,ins#2,X331HB12,40,30,2989.625,TIME_LIMIT,lefo_mip_no_shelf_v1,1087565.6705568498,1063708.4600198788,0.02193634019797236,600.0366129875183,11
38,eaa8e491-3d71-4532-a27c-82ef7cc9855f,2025-09-27T05:33:11.833105+00:00,ins#1,X331LB12,40,30,2403.625,TIME_LIMIT,lefo_mip_no_shelf_v1,914701.6252024409,895108.3086093011,0.0214204458080015,600.0370669364929,11
76,b2c972bd-183e-4055-a787-26b827867e9a,2025-09-26T23:10:26.55809+00:00,ins#2,X332LB8,40,30,2721.5,TIME_LIMIT,lefo_mip_no_shelf_v1,773745.8892642445,757454.4494734373,0.021055284450426922,600.0293979644775,11
36,b2970dda-45b5-4222-a56d-a40bee9643ee,2025-09-27T05:53:20.337235+00:00,ins#2,X332LB12,40,30,2608.075,TIME_LIMIT,lefo_mip_no_shelf_v1,1631318.8561240193,1597174.2545313044,0.020930673034603293,600.0551660060883,11
79,a8963747-c6f3-4d82-8ec4-552cd4f25565,2025-09-26T22:40:15.891875+00:00,ins#3,X331LB8,40,30,2818,TIME_LIMIT,lefo_mip_v1,767052.1742277679,751181.2455795564,0.02069080719859704,600.1816470623016,11
17,17a76c00-1686-467f-b133-47ee9bd00fe1,2025-09-27T09:04:48.485104+00:00,ins#2,X331HB8,40,30,2961.875,TIME_LIMIT,lefo_mip_v1,789807.9196221412,773712.7782988579,0.020378551447019586,600.0408141613007,11
70,83778427-8ccc-4fe7-a484-7cf7a75df083,2025-09-27T00:10:51.691774+00:00,ins#3,X332LB8,40,30,2647.85,TIME_LIMIT,lefo_mip_no_shelf_v1,824882.4107480512,808509.828484154,0.01984838329750501,600.051265001297,11
54,030bbe34-9dd7-4d29-998e-b574293ea19a,2025-09-27T02:52:00.827184+00:00,ins#3,X332HB8,40,30,2713.6,TIME_LIMIT,lefo_mip_no_shelf_v1,823012.6179795347,806770.330702632,0.019735161918631228,600.0335488319397,11
